Game,away,home,Date,away-score,home-score,Location
360403123,STL,PIT,2016-04-03T17:00Z,1.0,4.0,"Pittsburgh, Pennsylvania
							
								15212"
360403130,TOR,TB,2016-04-03T20:00Z,5.0,3.0,"St. Petersburg, Florida
							
								33705"
360403107,NYM,KC,2016-04-04T00:30Z,3.0,4.0,"Kansas City, Missouri
							
								64129"
360404108,SF,MIL,2016-04-04T18:10Z,12.0,3.0,"Milwaukee, Wisconsin
							
								53295"
360404101,MIN,BAL,2016-04-04T19:05Z,2.0,3.0,"Baltimore, Maryland
							
								21201"
360404113,SEA,TEX,2016-04-04T20:00Z,2.0,3.0,"Arlington, Texas
							
								76096"
360404115,WSH,ATL,2016-04-04T20:10Z,4.0,3.0,"Atlanta, Georgia
							
								39901"
360404117,PHI,CIN,2016-04-04T20:10Z,2.0,6.0,"Cincinnati, Ohio
							
								45202"
360404125,LAD,SD,2016-04-04T23:00Z,15.0,0.0,"San Diego, California
							
								92101"
360404130,TOR,TB,2016-04-04T23:10Z,5.0,3.0,"St. Petersburg, Florida
							
								33705"
360404129,COL,ARI,2016-04-05T01:40Z,10.0,5.0,"Phoenix, Arizona
							
								85004"
360404103,CHC,LAA,2016-04-05T02:00Z,9.0,0.0,"Anaheim, California
							
								92806"
360404111,CHW,OAK,2016-04-05T02:05Z,4.0,3.0,"Oakland, California
							
								94621"
360405110,HOU,NYY,2016-04-05T17:00Z,5.0,3.0,"Bronx, New York
							
								10451"
360405105,BOS,CLE,2016-04-05T17:10Z,6.0,2.0,"Cleveland, Ohio
							
								44115"
360405107,NYM,KC,2016-04-05T20:15Z,2.0,0.0,"Kansas City, Missouri
							
								64129"
360405123,STL,PIT,2016-04-05T23:05Z,5.0,6.0,"Pittsburgh, Pennsylvania
							
								15212"
360405128,DET,MIA,2016-04-05T23:10Z,8.0,7.0,"Miami, Florida
							
								33299"
360405130,TOR,TB,2016-04-05T23:10Z,2.0,3.0,"St. Petersburg, Florida
							
								33705"
360405113,SEA,TEX,2016-04-06T00:05Z,10.0,2.0,"Arlington, Texas
							
								76096"
360405108,SF,MIL,2016-04-06T00:10Z,2.0,1.0,"Milwaukee, Wisconsin
							
								53295"
360405129,COL,ARI,2016-04-06T01:40Z,6.0,11.0,"Phoenix, Arizona
							
								85004"
360405103,CHC,LAA,2016-04-06T02:05Z,6.0,1.0,"Anaheim, California
							
								92806"
360405111,CHW,OAK,2016-04-06T02:05Z,5.0,4.0,"Oakland, California
							
								94621"
360405125,LAD,SD,2016-04-06T02:10Z,3.0,0.0,"San Diego, California
							
								92101"
360406130,TOR,TB,2016-04-06T17:10Z,3.0,5.0,"St. Petersburg, Florida
							
								33705"
360406108,SF,MIL,2016-04-06T17:40Z,3.0,4.0,"Milwaukee, Wisconsin
							
								53295"
360406113,SEA,TEX,2016-04-06T18:05Z,9.0,5.0,"Arlington, Texas
							
								76096"
360406129,COL,ARI,2016-04-06T19:40Z,4.0,3.0,"Phoenix, Arizona
							
								85004"
360406128,DET,MIA,2016-04-06T20:55Z,7.0,3.0,"Miami, Florida
							
								33299"
360406105,BOS,CLE,2016-04-06T22:10Z,6.0,7.0,"Cleveland, Ohio
							
								44115"
360406117,PHI,CIN,2016-04-06T23:00Z,2.0,3.0,"Cincinnati, Ohio
							
								45202"
360406101,MIN,BAL,2016-04-06T23:05Z,2.0,4.0,"Baltimore, Maryland
							
								21201"
360406110,HOU,NYY,2016-04-06T23:05Z,6.0,16.0,"Bronx, New York
							
								10451"
360406123,STL,PIT,2016-04-06T23:05Z,1.0,5.0,"Pittsburgh, Pennsylvania
							
								15212"
360406115,WSH,ATL,2016-04-06T23:10Z,3.0,1.0,"Atlanta, Georgia
							
								39901"
360406125,LAD,SD,2016-04-07T01:10Z,7.0,0.0,"San Diego, California
							
								92101"
360406111,CHW,OAK,2016-04-07T02:00Z,1.0,2.0,"Oakland, California
							
								94621"
360407117,PHI,CIN,2016-04-07T16:35Z,6.0,10.0,"Cincinnati, Ohio
							
								45202"
360407111,CHW,OAK,2016-04-07T19:35Z,6.0,1.0,"Oakland, California
							
								94621"
360407110,HOU,NYY,2016-04-07T20:05Z,5.0,8.0,"Bronx, New York
							
								10451"
360407120,MIA,WSH,2016-04-07T20:05Z,6.0,4.0,"Washington, District of Columbia
							
								20003"
360407126,LAD,SF,2016-04-07T20:35Z,6.0,12.0,"San Francisco, California
							
								94107"
360407101,MIN,BAL,2016-04-07T23:05Z,2.0,4.0,"Baltimore, Maryland
							
								21201"
360407129,CHC,ARI,2016-04-08T01:40Z,14.0,6.0,"Phoenix, Arizona
							
								85004"
360407103,TEX,LAA,2016-04-08T02:05Z,3.0,4.0,"Anaheim, California
							
								92806"
360408106,NYY,DET,2016-04-08T17:10Z,0.0,4.0,"Detroit, Michigan
							
								48201"
360408121,PHI,NYM,2016-04-08T17:10Z,2.0,7.0,"Queens, New York
							
								11368"
360408104,CLE,CHW,2016-04-08T20:10Z,7.0,1.0,"Chicago, Illinois
							
								60616"
360408127,SD,COL,2016-04-08T20:10Z,13.0,6.0,"Denver, Colorado
							
								80205"
360408101,TB,BAL,2016-04-08T23:05Z,1.0,6.0,"Baltimore, Maryland
							
								21201"
360408114,BOS,TOR,2016-04-08T23:07Z,8.0,7.0,"Toronto, Ontario"
360408117,PIT,CIN,2016-04-08T23:10Z,6.0,5.0,"Cincinnati, Ohio
							
								45202"
360408115,STL,ATL,2016-04-08T23:35Z,7.0,4.0,"Atlanta, Georgia
							
								39901"
360408108,HOU,MIL,2016-04-09T00:10Z,4.0,6.0,"Milwaukee, Wisconsin
							
								53295"
360408107,MIN,KC,2016-04-09T00:15Z,3.0,4.0,"Kansas City, Missouri
							
								64129"
360408129,CHC,ARI,2016-04-09T01:40Z,2.0,3.0,"Phoenix, Arizona
							
								85004"
360408103,TEX,LAA,2016-04-09T02:05Z,7.0,3.0,"Anaheim, California
							
								92806"
