at_bats,hits,walks,strikeouts,game_id,team
32,5,5,14,360403123,STL
28,9,5,5,360403123,PIT
35,7,3,16,360403130,TOR
35,7,1,7,360403130,TB
33,7,6,9,360403107,NYM
30,9,2,3,360403107,KC
40,15,5,3,360404108,SF
32,8,5,10,360404108,MIL
33,7,0,10,360404101,MIN
36,10,5,10,360404101,BAL
30,4,3,11,360404113,SEA
27,1,6,10,360404113,TEX
37,8,5,11,360404115,WSH
32,4,5,11,360404115,ATL
33,6,1,10,360404117,PHI
28,6,3,7,360404117,CIN
42,17,4,10,360404125,LAD
31,4,2,10,360404125,SD
33,7,2,9,360404130,TOR
35,8,4,9,360404130,TB
42,15,4,7,360404129,COL
39,12,3,13,360404129,ARI
37,11,7,12,360404103,CHC
29,3,1,7,360404103,LAA
33,7,1,6,360404111,CHW
33,7,3,10,360404111,OAK
34,6,3,10,360405110,HOU
29,4,4,8,360405110,NYY
37,11,6,8,360405105,BOS
31,5,3,15,360405105,CLE
33,6,5,9,360405107,NYM
31,3,1,12,360405107,KC
38,8,3,13,360405123,STL
41,12,2,12,360405123,PIT
41,12,4,6,360405128,DET
41,10,3,10,360405128,MIA
36,9,4,11,360405130,TOR
30,7,0,9,360405130,TB
36,11,4,4,360405113,SEA
33,7,5,11,360405113,TEX
33,7,2,5,360405108,SF
31,6,0,6,360405108,MIL
35,9,1,2,360405129,COL
38,15,4,8,360405129,ARI
36,9,0,9,360405103,CHC
32,4,0,6,360405103,LAA
38,11,2,7,360405111,CHW
37,10,0,10,360405111,OAK
33,6,2,10,360405125,LAD
29,2,0,11,360405125,SD
32,6,2,10,360406130,TOR
33,10,1,7,360406130,TB
30,6,4,3,360406108,SF
30,9,7,9,360406108,MIL
37,14,6,6,360406113,SEA
33,7,2,11,360406113,TEX
32,8,0,7,360406129,COL
36,8,1,6,360406129,ARI
40,13,3,16,360406128,DET
33,10,4,6,360406128,MIA
36,10,3,7,360406105,BOS
31,9,6,6,360406105,CLE
30,5,2,10,360406117,PHI
